Student_ID,Name,Age,Gender,City,Course,Study_Hours,Attendance,Assignments_Completed,Midterm_Score,Final_Score,Projects,Internship,Backlogs,Placement
1001,Aditya,20,Male,Chandigarh,B.Tech,7.7,88,11,72,72,4,Yes,0,Yes
1002,Isha,22,Female,Delhi,M.Tech,8.8,92,18,81,81,4,Yes,0,Yes
1003,Ananya,19,Female,Solan,B.Sc,8.2,88,14,74,80,4,Yes,0,Yes
1004,Diya,22,Female,Mumbai,BCA,6.3,78,13,68,64,2,No,1,No
1005,Dhruv,23,Male,Noida,MCA,4.1,73,6,54,44,1,No,2,No
1006,Krishna,19,Male,Chennai,B.Sc,7.0,83,14,67,68,4,Yes,0,No
1007,Krishna,18,Male,Noida,B.Tech,7.5,88,13,70,71,4,No,0,Yes
1008,Meera,22,Female,Gurugram,MCA,5.3,79,8,56,56,2,No,2,No
1009,Anika,20,Female,Bangalore,B.Sc,6.5,86,13,65,56,3,No,0,Yes
1010,Riya,21,Female,Shimla,B.Sc,6.4,83,13,67,60,3,Yes,0,No
1011,Vansh,25,Male,Kolkata,MCA,8.6,89,16,79,75,4,No,0,Yes
1012,Priya,22,Female,Pune,BCA,9.3,90,17,86,89,4,Yes,0,Yes
1013,Meera,20,Female,Mumbai,B.Sc,8.3,87,12,82,81,3,Yes,0,Yes
1014,Ishaan,19,Male,Pune,B.Sc,6.4,83,10,66,65,2,Yes,0,Yes
1015,Kabir,18,Male,Hyderabad,BCA,8.2,88,14,79,73,3,No,0,Yes
1016,Reyansh,19,Male,Gurugram,B.Tech,7.5,83,13,81,75,3,Yes,0,Yes
1017,Krishna,19,Male,Jaipur,B.Sc,6.4,85,13,68,58,3,No,0,No
1018,Neha,18,Female,Chandigarh,B.Tech,9.6,94,17,84,81,4,Yes,0,Yes
1019,Kabir,22,Male,Chandigarh,B.Sc,5.4,80,7,59,55,2,No,1,No
1020,Aarav,22,Male,Chennai,MCA,7.4,83,9,64,65,2,No,0,No
1021,Sanya,21,Female,Mumbai,B.Tech,7.8,84,13,75,73,3,No,0,Yes
1022,Dhruv,21,Male,Ahmedabad,B.Tech,6.1,81,10,61,56,2,No,2,No
1023,Krishna,20,Male,Delhi,B.Tech,7.3,79,14,65,66,3,Yes,0,Yes
1024,Arjun,20,Male,Chandigarh,BCA,7.9,90,12,72,71,4,Yes,0,Yes
1025,Krishna,21,Male,Hyderabad,M.Tech,6.9,82,10,72,72,4,No,0,Yes
1026,Anushka,18,Female,Ahmedabad,BCA,7.2,84,14,69,65,3,No,1,No
1027,Vivaan,20,Male,Chennai,B.Tech,6.7,85,14,71,61,4,No,0,No
1028,Vansh,19,Male,Pune,B.Sc,7.7,86,11,74,73,3,No,0,No
1029,Sanya,22,Female,Chennai,B.Sc,6.2,78,10,63,61,3,No,0,Yes
1030,Vansh,21,Male,Kolkata,BCA,6.0,86,12,63,56,2,No,0,No
1031,Diya,18,Female,Gurugram,B.Sc,6.5,78,13,66,61,3,No,0,No
1032,Rahul,20,Male,Kolkata,B.Tech,8.3,82,14,73,73,3,Yes,0,Yes
1033,Dhruv,21,Male,Noida,B.Sc,3.9,76,9,51,43,1,No,2,No
1034,Anika,18,Female,Bangalore,B.Tech,5.1,73,9,59,50,2,No,2,No
1035,Kavya,18,Female,Gurugram,B.Tech,9.9,98,19,94,90,5,Yes,0,Yes
1036,Kavya,22,Female,Bangalore,MCA,6.9,85,11,67,67,4,Yes,0,Yes
1037,Krishna,18,Male,Chennai,BCA,5.9,81,11,63,57,2,No,2,No
1038,Vivaan,22,Male,Solan,B.Tech,7.7,85,12,75,73,3,Yes,0,Yes
1039,Simran,21,Female,Mumbai,M.Tech,5.3,76,9,58,53,2,Yes,1,No
1040,Vivaan,22,Male,Pune,B.Sc,3.3,70,5,48,40,2,No,2,No
1041,Ishaan,19,Male,Delhi,B.Tech,7.0,82,13,71,67,3,No,1,No
1042,Vivaan,22,Male,Bangalore,B.Sc,5.4,83,13,68,58,3,No,0,No
1043,Aditya,24,Male,Gurugram,MCA,6.7,81,16,75,71,3,Yes,0,Yes
1044,Ananya,18,Female,Shimla,B.Sc,7.0,86,12,69,70,3,Yes,0,Yes
1045,Krishna,20,Male,Chandigarh,B.Tech,6.7,86,14,75,71,3,No,0,Yes
1046,Riya,20,Female,Chennai,B.Sc,3.9,71,5,50,41,3,No,3,No
1047,Shaurya,22,Male,Noida,B.Sc,6.5,84,12,65,58,4,No,1,No
1048,Simran,22,Female,Delhi,MCA,7.2,83,12,72,64,4,Yes,0,No
1049,Tara,22,Female,Gurugram,B.Tech,4.4,75,7,51,47,3,No,4,No
1050,Krishna,22,Male,Bangalore,B.Sc,4.2,73,12,50,43,2,No,2,No
1051,Neha,22,Female,Noida,B.Tech,4.9,75,8,50,44,2,No,3,No
1052,Riya,21,Female,Pune,B.Sc,7.6,87,13,73,76,3,Yes,0,Yes
1053,Aadhya,24,Female,Chennai,M.Tech,3.5,69,5,49,43,1,No,2,No
1054,Priya,22,Female,Delhi,B.Tech,7.7,90,13,77,74,3,Yes,0,Yes
1055,Anushka,19,Female,Chennai,B.Tech,7.1,82,11,70,68,3,Yes,1,No
1056,Ananya,18,Female,Delhi,BCA,6.1,78,11,69,68,3,No,0,No
1057,Shaurya,20,Male,Pune,B.Sc,4.3,74,8,60,51,2,No,2,No
1058,Aarav,21,Male,Chennai,B.Tech,5.3,77,10,59,56,2,No,1,No
1059,Ayaan,18,Male,Ahmedabad,B.Sc,7.7,88,14,80,78,4,No,0,Yes
1060,Ishaan,24,Male,Bangalore,MCA,8.4,90,14,79,82,3,No,0,Yes
1061,Rohan,21,Male,Pune,B.Sc,5.0,73,8,55,50,3,No,2,No
1062,Krishna,21,Male,Noida,B.Sc,8.2,92,15,82,82,5,No,0,Yes
1063,Diya,22,Female,Jaipur,BCA,7.5,85,13,71,63,3,No,0,Yes
1064,Aarav,25,Male,Jaipur,MCA,6.5,83,11,56,63,1,Yes,1,No
1065,Kabir,21,Male,Kolkata,B.Tech,5.4,86,9,60,56,1,Yes,0,Yes
1066,Anika,21,Female,Noida,B.Tech,5.6,83,12,55,55,3,No,0,No
1067,Shaurya,20,Male,Kolkata,BCA,9.2,93,20,82,78,5,Yes,0,Yes
1068,Sanya,18,Female,Pune,B.Sc,6.8,80,12,64,58,4,No,0,No
1069,Vansh,21,Male,Kolkata,MCA,8.5,86,14,75,73,4,Yes,0,Yes
1070,Aadhya,19,Female,Bangalore,B.Tech,6.9,88,12,65,63,3,No,1,No
1071,Priya,22,Female,Kolkata,MCA,5.8,79,12,56,53,2,No,2,No
1072,Ishaan,22,Male,Chennai,MCA,7.4,85,13,68,65,4,No,0,No
1073,Aarav,22,Male,Mumbai,BCA,9.7,91,18,83,83,4,Yes,0,Yes
1074,Meera,22,Female,Chennai,B.Sc,5.5,81,9,59,48,2,No,2,No
1075,Anika,20,Female,Mumbai,B.Tech,7.9,91,12,77,75,4,Yes,0,Yes
1076,Kavya,22,Female,Gurugram,B.Tech,6.8,88,13,72,66,3,No,1,No
1077,Sanya,22,Female,Bangalore,MCA,4.3,74,8,47,46,3,No,2,No
1078,Krishna,21,Male,Chandigarh,BCA,4.3,77,9,49,43,2,No,2,No
1079,Krishna,19,Male,Mumbai,B.Tech,5.8,80,8,68,60,3,No,1,No
1080,Dhruv,20,Male,Jaipur,B.Sc,7.0,87,15,73,69,4,No,0,Yes
1081,Sanya,24,Female,Pune,MCA,7.8,87,14,71,72,3,No,0,Yes
1082,Aadhya,22,Female,Jaipur,B.Sc,4.1,72,5,44,44,1,No,3,No
1083,Rohan,21,Male,Bangalore,B.Tech,7.5,90,15,72,69,2,No,1,No
1084,Aditya,20,Male,Kolkata,BCA,6.3,82,11,63,61,2,No,0,Yes
1085,Ishaan,22,Male,Kolkata,B.Sc,6.5,82,12,68,64,2,Yes,1,No
1086,Rohan,18,Male,Mumbai,B.Tech,7.4,86,13,62,62,4,No,0,No
1087,Isha,19,Female,Hyderabad,B.Tech,9.1,90,16,78,73,4,No,0,Yes
1088,Riya,19,Female,Solan,BCA,7.0,86,13,77,71,3,Yes,0,Yes
1089,Aadhya,20,Female,Kolkata,B.Sc,4.5,75,6,53,45,1,No,2,No
1090,Kabir,20,Male,Chandigarh,B.Tech,6.2,79,12,63,62,3,No,0,Yes
1091,Rohan,19,Male,Solan,B.Tech,7.8,94,14,74,69,4,No,0,Yes
1092,Diya,21,Female,Jaipur,B.Tech,7.8,84,15,76,71,4,No,0,Yes
1093,Simran,18,Female,Mumbai,B.Tech,7.5,87,15,65,63,5,No,0,Yes
1094,Diya,18,Female,Bangalore,B.Tech,5.7,80,10,59,57,3,No,1,No
1095,Isha,20,Female,Chennai,BCA,4.4,72,8,42,40,2,No,2,No
1096,Vivaan,20,Male,Shimla,BCA,7.4,85,11,71,70,3,No,0,Yes
1097,Isha,21,Female,Ahmedabad,BCA,4.7,72,7,51,40,4,No,2,No
1098,Arjun,20,Male,Gurugram,BCA,7.5,92,14,68,73,4,Yes,0,Yes
1099,Ayaan,18,Male,Ahmedabad,B.Tech,7.5,85,14,76,69,4,Yes,0,Yes
1100,Shaurya,19,Male,Bangalore,BCA,5.8,80,11,64,61,3,No,0,Yes
1101,Dhruv,18,Male,Chandigarh,B.Tech,6.3,88,13,71,66,3,No,1,No
1102,Neha,21,Female,Bangalore,B.Tech,6.8,81,12,60,62,4,Yes,1,No
1103,Arjun,19,Male,Pune,B.Tech,5.6,83,11,57,51,2,No,2,No
1104,Rohan,22,Male,Hyderabad,M.Tech,4.4,77,8,58,49,4,No,1,No
1105,Priya,18,Female,Chandigarh,B.Tech,6.4,76,11,66,63,2,Yes,1,No
1106,Rahul,22,Male,Solan,M.Tech,6.6,82,12,71,66,3,Yes,0,Yes
1107,Reyansh,19,Male,Noida,BCA,8.5,91,14,78,74,5,Yes,1,Yes
1108,Ananya,20,Female,Ahmedabad,BCA,5.3,79,9,58,55,2,Yes,1,No
1109,Ishaan,19,Male,Jaipur,B.Sc,8.1,88,14,78,82,4,Yes,0,Yes
1110,Aditya,21,Male,Mumbai,B.Tech,4.8,75,8,49,45,2,No,4,No
